# wavelength_(μm) flux_(mJy) flux_unc_(mJy)
3.1823759 0.000753024 0.000273534
3.1830535 0.000975442 0.000282729
3.1837311 0.000975442 0.000237257
3.1844087 0.001015727 0.000249398
3.1850863 0.001015727 0.000269594
3.1857639 0.000890249 0.000229277
3.1864415 0.000890249 0.000199785
3.1871191 0.000889089 0.000096430
3.1877967 0.000889089 0.000190284
3.1884743 0.000995477 0.000192879
3.1891519 0.000995477 0.000231250
3.1898295 0.000889089 0.000195052
3.1905070 0.000995477 0.000179294
3.1911846 0.000856154 0.000252984
3.1918622 0.000856154 0.000284128
3.1925397 0.001054694 0.000135417
3.1932173 0.001054694 0.000270923
3.1938948 0.001241822 0.000244973
3.1945724 0.001241822 0.000299466
3.1952499 0.001095690 0.000257704
3.1959274 0.001095690 0.000229707
3.1966049 0.001205236 0.000187796
3.1972825 0.001095690 0.000253611
3.1979600 0.000950353 0.000238416
3.1986375 0.000638241 0.000256826
3.1993150 0.000638241 0.000280839
3.1999925 0.000638241 0.000249557
3.2006700 0.000953631 0.000127632
3.2013475 0.000953631 0.000189580
3.2020250 0.001289211 0.000230017
3.2027024 0.001453613 0.000227775
3.2033799 0.001289211 0.000185326
3.2040574 0.001388855 0.000167046
3.2047348 0.001448653 0.000203631
3.2054123 0.001392194 0.000107793
3.2060898 0.001388855 0.000248124
3.2067672 0.001388855 0.000233574
3.2074446 0.001392194 0.000157115
3.2081221 0.001392194 0.000222606
3.2087995 0.001589253 0.000269319
3.2094769 0.001589253 0.000202977
3.2101544 0.001589253 0.000287216
3.2108318 0.001613223 0.000328284
3.2115092 0.001607670 0.000310497
3.2121866 0.001546238 0.000305360
3.2128640 0.001607670 0.000296683
3.2135414 0.001609886 0.000275131
3.2142188 0.001609886 0.000207325
3.2148962 0.001609886 0.000204864
3.2155736 0.001719613 0.000255316
3.2162509 0.001772698 0.000297000
3.2169283 0.002040501 0.000298838
3.2176057 0.002040501 0.000303397
3.2182831 0.002040501 0.000323918
3.2189604 0.002033217 0.000298346
3.2196378 0.001928728 0.000269776
