# wavelength_(/cm) continuum_(mJy)
3.4530225 0.043076610
3.4536981 0.043094989
3.4543737 0.043113358
3.4550493 0.043131715
3.4557248 0.043150064
3.4564004 0.043168400
3.4570760 0.043186728
3.4577516 0.043205044
3.4584271 0.043223350
3.4591027 0.043241645
3.4597783 0.043259931
3.4604538 0.043278206
3.4611294 0.043296469
3.4618049 0.043314723
3.4624804 0.043332967
3.4631560 0.043351200
3.4638315 0.043369422
3.4645070 0.043387633
3.4651825 0.043405835
3.4658580 0.043424027
3.4665336 0.043442209
3.4672091 0.043460379
3.4678846 0.043478540
3.4685600 0.043496688
3.4692355 0.043514829
3.4699110 0.043532958
3.4705865 0.043551077
3.4712620 0.043569184
3.4719374 0.043587283
3.4726129 0.043605371
3.4732883 0.043623447
3.4739638 0.043641514
3.4746392 0.043659570
3.4753147 0.043677616
3.4759901 0.043695652
3.4766655 0.043713679
3.4773410 0.043731693
3.4780164 0.043749698
3.4786918 0.043767692
3.4793672 0.043785677
3.4800426 0.043803650
3.4807180 0.043821614
3.4813934 0.043839567
3.4820688 0.043857510
3.4827442 0.043875442
3.4834196 0.043893364
3.4840949 0.043911275
3.4847703 0.043929177
3.4854457 0.043947067
3.4861210 0.043964949
3.4867964 0.043982820
3.4874717 0.044000680
3.4881471 0.044018529
3.4888224 0.044036369
3.4894978 0.044054198
3.4901731 0.044072017
3.4908484 0.044089826
3.4915237 0.044107625
3.4921990 0.044125412
3.4928744 0.044143190
3.4935497 0.044160957
3.4942250 0.044178715
3.4949003 0.044196462
3.4955755 0.044214199
3.4962508 0.044231925
3.4969261 0.044249641
3.4976014 0.044267347
3.4982766 0.044285043
3.4989519 0.044302727
3.4996272 0.044320404
3.5003024 0.044338068
3.5009777 0.044355723
3.5016529 0.044373367
3.5023282 0.044391001
3.5030034 0.044408625
3.5036786 0.044426239
3.5043538 0.044443842
3.5050291 0.044461435
3.5057043 0.044479018
3.5063795 0.044496590
3.5070547 0.044514153
3.5077299 0.044531705
3.5084051 0.044549247
3.5090803 0.044566778
3.5097554 0.044584300
3.5104306 0.044601811
3.5111058 0.044619312
3.5117810 0.044636803
3.5124561 0.044654283
3.5131313 0.044671753
3.5138064 0.044689214
3.5144816 0.044706664
3.5151567 0.044724104
3.5158319 0.044741533
3.5165070 0.044758952
3.5171821 0.044776363
3.5178572 0.044793762
3.5185324 0.044811150
3.5192075 0.044828529
3.5198826 0.044845897
3.5205577 0.044863256
3.5212328 0.044880603
3.5219079 0.044897942
3.5225830 0.044915270
3.5232580 0.044932587
3.5239331 0.044949895
3.5246082 0.044967192
3.5252832 0.044984478
3.5259583 0.045001756
3.5266334 0.045019023
3.5273084 0.045036279
3.5279835 0.045053525
3.5286585 0.045070761
3.5293335 0.045087989
3.5300086 0.045105205
3.5306836 0.045122411
3.5313586 0.045139606
3.5320336 0.045156792
3.5327086 0.045173968
3.5333836 0.045191132
3.5340586 0.045208288
3.5347336 0.045225433
3.5354086 0.045242568
3.5360836 0.045259694
3.5367586 0.045276808
3.5374336 0.045293913
3.5381085 0.045311008
3.5387835 0.045328092
