# wavenumber_(/cm) absorbance absorbance_unc
3503.2508066 0.552580393 0.003661100
3502.4163345 0.562205693 0.003555900
3501.5823826 0.563423293 0.003976700
3500.7487051 0.558118593 0.003358300
3499.9155470 0.562899893 0.002900600
3499.0826630 0.558598993 0.003701900
3498.2502976 0.555434793 0.003201800
3497.4182059 0.556071993 0.003180500
3496.5866321 0.556230293 0.003025700
3495.7554537 0.557247293 0.003099200
3494.9245482 0.563490793 0.003335000
3494.0941598 0.588477893 0.003448500
3493.2641658 0.591109393 0.003332900
3492.4345660 0.604566293 0.003344400
3491.6053602 0.604630193 0.003510500
3490.7765480 0.620916393 0.003220500
3489.9481292 0.629892793 0.003161200
3489.1201036 0.630659293 0.003474700
3488.2924707 0.633358893 0.003541800
3487.4653520 0.636182993 0.003364100
3486.6385039 0.636264893 0.003166800
3485.8120478 0.636745593 0.003346000
3484.9861048 0.661957593 0.004003400
3484.1604318 0.664895493 0.004062000
3483.3352712 0.668347093 0.004119400
3482.5103801 0.679008393 0.003972400
3481.6860009 0.679900193 0.004018900
3480.8618906 0.680955993 0.004256700
3480.0382916 0.681938793 0.004716200
3479.2150821 0.691686593 0.003638200
3478.3921411 0.696264593 0.004225800
3477.5697101 0.700955493 0.003439400
3476.7476680 0.701746493 0.003597900
3475.9260145 0.719940693 0.003798800
3475.1047492 0.722365293 0.003644300
3474.2838719 0.723437393 0.003247200
3473.4633823 0.724710193 0.003275100
3472.6432802 0.749384693 0.004066800
3471.8236858 0.752573293 0.003883800
3471.0043577 0.759784593 0.003895600
3470.1854162 0.789300693 0.004397200
3469.3668610 0.798397493 0.004707500
3468.5488122 0.802426993 0.004629500
3467.7310289 0.807175893 0.004202700
3466.9137513 0.808275193 0.004360800
3466.0967387 0.813103993 0.004325200
3465.2802311 0.839044193 0.004798700
3464.4641082 0.838373193 0.004791600
3463.6482496 0.850821693 0.004301200
3462.8328951 0.859804693 0.004340800
3462.0179244 0.860217193 0.004414200
3461.2033372 0.868598693 0.004158200
3460.3891332 0.872481993 0.004109000
3459.5751925 0.880053593 0.004324800
3458.7617543 0.900838593 0.004361100
3457.9488181 0.904529593 0.004496700
3457.1361444 0.903536493 0.005029800
3456.3238526 0.912263293 0.004668700
3455.5119424 0.918135493 0.004477700
3454.7004136 0.934893693 0.004790000
3453.8893851 0.936205493 0.004884200
3453.0786181 0.939287493 0.004311300
3452.2682317 0.960819493 0.004970100
3451.4583447 0.960697793 0.005029400
3450.6487185 0.962346693 0.004277100
3449.8395911 0.968193393 0.004479800
3449.0307241 0.976640093 0.004316400
3448.2223552 1.007349093 0.005311800
3447.4143651 1.007358993 0.005068300
3446.6066348 1.008628393 0.005003900
3445.7994017 1.009019393 0.005464400
3444.9925466 1.008248893 0.005252100
3444.1860693 1.008850493 0.005065700
3443.3799694 1.008969293 0.005745200
3442.5742469 1.040587593 0.004900800
3441.7689013 1.052776093 0.005243400
3440.9639324 1.052287293 0.005414700
3440.1593399 1.058514693 0.005174700
3439.3552420 1.070130093 0.005004300
3438.5514016 1.081985493 0.005795200
3437.7479368 1.081597793 0.005064200
3436.9449656 1.106386593 0.004970500
3436.1422513 1.118153793 0.005891900
3435.3399119 1.135962693 0.006613500
3434.5380651 1.117596893 0.005574100
3433.7364746 1.119013693 0.005802900
3432.9353760 1.123643193 0.006652800
3432.1346512 1.124229893 0.005790500
3431.3341820 1.125152893 0.005414100
3430.5342038 1.126588293 0.005062800
3429.7345986 1.127703393 0.005809600
3428.9353660 1.151240993 0.005964200
3428.1365058 1.162201593 0.005625500
3427.3380178 1.161828693 0.006118800
3426.5399016 1.162541493 0.005800200
3425.7421571 1.168907693 0.006311200
3424.9447839 1.184250293 0.005957300
3424.1477818 1.192782293 0.005647600
3423.3511506 1.195351993 0.005878300
3422.5550071 1.229307593 0.006909600
3421.7591168 1.248152493 0.006832900
3420.9635965 1.237147393 0.006728800
3420.1685630 1.248617393 0.005986300
3419.3737820 1.251846693 0.007043100
