# wavenumber_(/cm) absorbance absorbance_unc
3528.8205835 0.3721882 0.0027392
3527.5707878 0.3876553 0.0033136
3526.3218770 0.3866068 0.0031160
3525.0738503 0.3897374 0.0031563
3523.8267067 0.3902386 0.0027986
3522.5804452 0.3934723 0.0030014
3521.3350649 0.4070619 0.0031837
3520.0905649 0.4230665 0.0030837
3518.8469442 0.4399215 0.0028829
3517.6042020 0.4473252 0.0031196
3516.3623372 0.4451959 0.0031644
3515.1213490 0.4650709 0.0027809
3513.8812364 0.4751184 0.0033647
3512.6419986 0.4794761 0.0031696
3511.4036344 0.4967354 0.0034223
3510.1661432 0.4941480 0.0034609
3508.9295239 0.5109743 0.0032390
3508.2658779 0.5071668 0.0035010
3507.4290152 0.5071003 0.0033122
3506.5925518 0.5101992 0.0030465
3505.7564872 0.5118526 0.0032526
3504.9208212 0.5234067 0.0034910
3504.0856763 0.5390860 0.0031266
3503.2508066 0.5543288 0.0036611
3502.4163345 0.5639541 0.0035559
3501.5823826 0.5651717 0.0039767
3500.7487051 0.5598670 0.0033583
3499.9155470 0.5646483 0.0029006
3499.0826630 0.5603474 0.0037019
3498.2502976 0.5571832 0.0032018
3497.4182059 0.5578204 0.0031805
3496.5866321 0.5579787 0.0030257
3495.7554537 0.5589957 0.0030992
3494.9245482 0.5652392 0.0033350
3494.0941598 0.5902263 0.0034485
3493.2641658 0.5928578 0.0033329
3492.4345660 0.6063147 0.0033444
3491.6053602 0.6063786 0.0035105
3490.7765480 0.6226648 0.0032205
3489.9481292 0.6316412 0.0031612
3489.1201036 0.6324077 0.0034747
3488.2924707 0.6351073 0.0035418
3487.4653520 0.6379314 0.0033641
3486.6385039 0.6380133 0.0031668
3485.8120478 0.6384940 0.0033460
3484.9861048 0.6637060 0.0040034
3484.1604318 0.6666439 0.0040620
3483.3352712 0.6700955 0.0041194
3482.5103801 0.6807568 0.0039724
3481.6860009 0.6816486 0.0040189
3480.8618906 0.6827044 0.0042567
3480.0382916 0.6836872 0.0047162
3479.2150821 0.6934350 0.0036382
3478.3921411 0.6980130 0.0042258
3477.5697101 0.7027039 0.0034394
3476.7476680 0.7034949 0.0035979
3475.9260145 0.7216891 0.0037988
3475.1047492 0.7241137 0.0036443
3474.2838719 0.7251858 0.0032472
3473.4633823 0.7264586 0.0032751
3472.6432802 0.7511331 0.0040668
3471.8236858 0.7543217 0.0038838
3471.0043577 0.7615330 0.0038956
3470.1854162 0.7910491 0.0043972
3469.3668610 0.8001459 0.0047075
3468.5488122 0.8041754 0.0046295
3467.7310289 0.8089243 0.0042027
3466.9137513 0.8100236 0.0043608
3466.0967387 0.8148524 0.0043252
3465.2802311 0.8407926 0.0047987
3464.4641082 0.8401216 0.0047916
3463.6482496 0.8525701 0.0043012
3462.8328951 0.8615531 0.0043408
3462.0179244 0.8619656 0.0044142
3461.2033372 0.8703471 0.0041582
3460.3891332 0.8742304 0.0041090
3459.5751925 0.8818020 0.0043248
3458.7617543 0.9025870 0.0043611
3457.9488181 0.9062780 0.0044967
3457.1361444 0.9052849 0.0050298
3456.3238526 0.9140117 0.0046687
3455.5119424 0.9198839 0.0044777
3454.7004136 0.9366421 0.0047900
3453.8893851 0.9379539 0.0048842
3453.0786181 0.9410359 0.0043113
3452.2682317 0.9625679 0.0049701
3451.4583447 0.9624462 0.0050294
3450.6487185 0.9640951 0.0042771
3449.8395911 0.9699418 0.0044798
3449.0307241 0.9783885 0.0043164
3448.2223552 1.0090975 0.0053118
3447.4143651 1.0091074 0.0050683
3446.6066348 1.0103768 0.0050039
3445.7994017 1.0107678 0.0054644
3444.9925466 1.0099973 0.0052521
3444.1860693 1.0105989 0.0050657
3443.3799694 1.0107177 0.0057452
3442.5742469 1.0423360 0.0049008
3441.7689013 1.0545245 0.0052434
